alias,canonical_label,notes
NATIONAL FRONT PARTY,NATIONAL FRONT,lexical_context_similarity
SUDANESE PRIME MINISTER ABBOUD,PRIME MINISTER ABBOUD,lexical_context_similarity
FIELD MARSHAL SARIT,SARIT,lexical_context_similarity
COMMISSIONER DEJEAN,COMMISSIONER GENERAL DEJEAN,lexical_context_similarity
N. R. PILLAI,PILLAI,lexical_context_similarity
CAO DAI SECT,CAO DAI,lexical_context_similarity
MUFTI OF JERUSALEM,GRAND MUFTI OF JERUSALEM,lexical_context_similarity
NATO AIR BASE AT KEFLAVIK,KEFLAVIK AIR BASE,lexical_context_similarity
"DIRECTOR FOR INTELLIGENCE, THE JOINT STAFF","DIRECTOR, THE JOINT STAFF",lexical_context_similarity
CEYLONESE PRIME MINISTER BANDARANAIKE,PRIME MINISTER BANDARANAIKE,lexical_context_similarity
SOVIET DEPUTY FOREIGN MINISTER PUSHKIN,DEPUTY FOREIGN MINISTER PUSHKIN,lexical_context_similarity
EGYPTIAN REVOLUTIONARY COMMAND,REVOLUTIONARY COMMAND COUNCIL,lexical_context_similarity
MUSTAFA BARZANI,MULLA MUSTAFA BARZANI,lexical_context_similarity
OTTO GROTEWOHL,GROTEWOHL,lexical_context_similarity
COUNCIL OF MUTUAL ECONOMIC ASSISTANCE (CEMA),COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,lexical_context_similarity
USSR SUPREME SOVIET,SUPREME SOVIET,lexical_context_similarity
CUBAN PRESIDENT BATISTA,BATISTA,lexical_context_similarity
KING HASSAN,KING HASSAN II,lexical_context_similarity
DE GAULLISTS,GAULLISTS,lexical_context_similarity
1952 MUTUAL SECURITY ACT,MUTUAL SECURITY ACT,lexical_context_similarity
C. D. DESHMUKH,DESHMUKH,lexical_context_similarity
FRENCH FOREIGN LEGION,FOREIGN LEGION,lexical_context_similarity
AUSTRIAN CHANCELLOR RAAB,CHANCELLOR RAAB,lexical_context_similarity
SYRIAN BAATHIST PARTY,BAATH PARTY,lexical_context_similarity
MOSCOW STATE UNIVERSITY,MOSCOW UNIVERSITY,lexical_context_similarity
PREMIER KHRUSHCHEV,KHRUSHCHEV,lexical_context_similarity
EAST GERMAN SOCIALIST UNITY (COMMUNIST) PARTY,EAST GERMAN SOCIALIST UNITY PARTY,lexical_context_similarity
LIBERAL DEMOCRATIC PARTY,LIBERAL-DEMOCRATIC PARTY,lexical_context_similarity
BRITISH GOVERNOR HARDING,GOVERNOR HARDING,lexical_context_similarity
SAUDI ARABIAN GOVERNMENT,SAUDI GOVERNMENT,lexical_context_similarity
AMBASSADOR COWEN,US AMBASSADOR COWEN,lexical_context_similarity
BELGIAN FOREIGN MINISTER VAN ZEELAND,FOREIGN MINISTER VAN ZEELAND,lexical_context_similarity
EMBASSY IN TEL AVIV,AMERICAN EMBASSY,lexical_context_similarity
BELGIAN SOCIAL CHRISTIAN PARTY,SOCIAL CHRISTIAN PARTY,lexical_context_similarity
WILLIAMS,ERIC WILLIAMS,lexical_context_similarity
EX-PRESIDENT FIGUERES OF COSTA RICA,FIGUERES,lexical_context_similarity
FRENCH FINANCE MINISTER FAURE,FINANCE MINISTER FAURE,lexical_context_similarity
AUSTRIAN FOREIGN MINISTER FIGL,FOREIGN MINISTER FIGL,lexical_context_similarity
KONG LE/PATHET LAO,KONG LE - PATHET LAO,lexical_context_similarity
