original_normalized_label,canonical_label,canonical_key,method,confidence
ANDREI GROMYKO,ANDREI GROMYKO (BULLETIN NATIONS INTELLIGENCE),CANONICAL_ENTITY:ANDREI_GROMYKO_BULLETIN_NATIONS_INTELLIGENCE,a3_single_cluster_self,1.0
ANGOLAN PEOPLES UNION UPA,ANGOLAN PEOPLES UNION UPA,CANONICAL_ENTITY:ANGOLAN_PEOPLES_UNION_UPA,multi_sense_label,1.0
ANSAR,ANSAR (SUDAN ABBOUD BULLETIN),CANONICAL_ENTITY:ANSAR_SUDAN_ABBOUD_BULLETIN,a3_single_cluster_self,1.0
ARAB ASIAN BLOC,ARAB ASIAN BLOC,CANONICAL_ENTITY:ARAB_ASIAN_BLOC,multi_sense_label,1.0
ARAB COUNTRIES,ARAB COUNTRIES (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:ARAB_COUNTRIES_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0
ARAB JOINT COMMAND,ARAB JOINT COMMAND,CANONICAL_ENTITY:ARAB_JOINT_COMMAND,multi_sense_label,1.0
ARABS,ARABS,CANONICAL_ENTITY:ARABS,multi_sense_label,1.0
ARAUJO,ARAUJO (ECUADOR BULLETIN PERU),CANONICAL_ENTITY:ARAUJO_ECUADOR_BULLETIN_PERU,a3_single_cluster_self,1.0
ARBENZ REGIME,ARBENZ REGIME,CANONICAL_ENTITY:ARBENZ_REGIME,multi_sense_label,1.0
ARGENTINE GOVERNMENT,ARGENTINE GOVERNMENT,CANONICAL_ENTITY:ARGENTINE_GOVERNMENT,multi_sense_label,1.0
